date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:50:15	116760/116760	---MCZ	200	added ('OK')	text/html	date:Sun,%2016%20Jun%202019%2014:50:15%20GMT	https://www.laraveltip.com/que-son-los-routes-en-laravel/	laravel/laravel/www.laraveltip.com/que-son-los-routes-en-laravel/index.html	(from )
16:50:15	141156/141156	---MCZ	200	added ('OK')	text/html	date:Sun,%2016%20Jun%202019%2014:50:15%20GMT	https://www.laraveltip.com/obtener-relaciones-de-modelos-automaticamente-en-laravel/	laravel/laravel/www.laraveltip.com/obtener-relaciones-de-modelos-automaticamente-en-laravel/index.html	(from )
16:50:16	40285/40285	---MCZ	200	added ('OK')	text/html	date:Sun,%2016%20Jun%202019%2014:50:14%20GMT	https://laravel.com/docs/5.8/	laravel/laravel/laravel.com/docs/5.8/index.html	(from )
16:50:16	178/178	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2016%20Jun%202019%2014:50:14%20GMT	https://www.laraveltip.com/robots.txt		(from )
16:50:16	178/178	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2016%20Jun%202019%2014:50:17%20GMT	https://www.laraveltip.com/que-son-los-routes-en-laravel/OneSignalSDKUpdaterWorker.js.php	laravel/laravel/www.laraveltip.com/que-son-los-routes-en-laravel/OneSignalSDKUpdaterWorker.js.php	(from https://www.laraveltip.com/que-son-los-routes-en-laravel/)
16:50:16	178/178	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2016%20Jun%202019%2014:50:17%20GMT	https://www.laraveltip.com/que-son-los-routes-en-laravel/OneSignalSDKWorker.js.php	laravel/laravel/www.laraveltip.com/que-son-los-routes-en-laravel/OneSignalSDKWorker.js.php	(from https://www.laraveltip.com/que-son-los-routes-en-laravel/)
16:50:17	94225/94225	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2016%20Jun%202019%2014:50:17%20GMT	https://www.laraveltip.com/que-son-los-routes-en-laravel/GET	laravel/laravel/www.laraveltip.com/que-son-los-routes-en-laravel/GET	(from https://www.laraveltip.com/que-son-los-routes-en-laravel/)
16:50:17	178/178	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2016%20Jun%202019%2014:50:18%20GMT	https://www.laraveltip.com/obtener-relaciones-de-modelos-automaticamente-en-laravel/OneSignalSDKUpdaterWorker.js.php	laravel/laravel/www.laraveltip.com/obtener-relaciones-de-modelos-automaticamente-en-laravel/OneSignalSDKUpdaterWorker.js.php	(from https://www.laraveltip.com/obtener-relaciones-de-modelos-automaticamente-en-laravel/)
16:50:17	178/178	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2016%20Jun%202019%2014:50:18%20GMT	https://www.laraveltip.com/obtener-relaciones-de-modelos-automaticamente-en-laravel/OneSignalSDKWorker.js.php	laravel/laravel/www.laraveltip.com/obtener-relaciones-de-modelos-automaticamente-en-laravel/OneSignalSDKWorker.js.php	(from https://www.laraveltip.com/obtener-relaciones-de-modelos-automaticamente-en-laravel/)
16:50:17	949/949	---MC-	200	added ('OK')	application/rss+xml	etag:%222b020b1ff966a3841fa4a7aeece8f275%22	https://www.laraveltip.com/que-son-los-routes-en-laravel/feed/	laravel/laravel/www.laraveltip.com/que-son-los-routes-en-laravel/feed/index.html	(from https://www.laraveltip.com/que-son-los-routes-en-laravel/)
16:50:17	94204/94204	---MCZ	200	added ('OK')	text/html	date:Sun,%2016%20Jun%202019%2014:50:18%20GMT	https://laravel.com/docs/5.8/eloquent-relationships	laravel/laravel/laravel.com/docs/5.8/eloquent-relationships.html	(from https://www.laraveltip.com/obtener-relaciones-de-modelos-automaticamente-en-laravel/)
16:50:18	94225/94225	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2016%20Jun%202019%2014:50:18%20GMT	https://www.laraveltip.com/obtener-relaciones-de-modelos-automaticamente-en-laravel/GET	laravel/laravel/www.laraveltip.com/obtener-relaciones-de-modelos-automaticamente-en-laravel/GET	(from https://www.laraveltip.com/obtener-relaciones-de-modelos-automaticamente-en-laravel/)
16:50:18	10120/10120	---MC-	200	added ('OK')	application/rss+xml	etag:%222b020b1ff966a3841fa4a7aeece8f275%22	https://www.laraveltip.com/obtener-relaciones-de-modelos-automaticamente-en-laravel/feed/	laravel/laravel/www.laraveltip.com/obtener-relaciones-de-modelos-automaticamente-en-laravel/feed/index.html	(from https://www.laraveltip.com/obtener-relaciones-de-modelos-automaticamente-en-laravel/)
16:50:18	24/24	---M--	200	added ('OK')	text/plain	etag:%2256eb5bc8-18%22	https://laravel.com/robots.txt		(from )
16:50:19	40571/40571	---MCZ	200	added ('OK')	text/html	date:Sun,%2016%20Jun%202019%2014:50:19%20GMT	https://laravel.com/docs/5.8/installation	laravel/laravel/laravel.com/docs/5.8/installation.html	(from https://laravel.com/docs/5.8/)
16:50:19	47721/47721	---MCZ	200	added ('OK')	text/html	date:Sun,%2016%20Jun%202019%2014:50:20%20GMT	https://laravel.com/docs/5.8/releases	laravel/laravel/laravel.com/docs/5.8/releases.html	(from https://laravel.com/docs/5.8/)
16:50:19	68573/68573	---MCZ	200	added ('OK')	text/html	date:Sun,%2016%20Jun%202019%2014:50:20%20GMT	https://laravel.com/docs/5.8/upgrade	laravel/laravel/laravel.com/docs/5.8/upgrade.html	(from https://laravel.com/docs/5.8/)
16:50:19	40282/40282	---MCZ	200	added ('OK')	text/html	date:Sun,%2016%20Jun%202019%2014:50:20%20GMT	https://laravel.com/docs/5.8/contributions	laravel/laravel/laravel.com/docs/5.8/contributions.html	(from https://laravel.com/docs/5.8/)
16:50:19	44120/44120	---MCZ	200	added ('OK')	text/html	date:Sun,%2016%20Jun%202019%2014:50:20%20GMT	https://laravel.com/docs/5.8/configuration	laravel/laravel/laravel.com/docs/5.8/configuration.html	(from https://laravel.com/docs/5.8/)
16:50:19	48920/48920	---MCZ	200	added ('OK')	text/html	date:Sun,%2016%20Jun%202019%2014:50:20%20GMT	https://laravel.com/docs/5.8/structure	laravel/laravel/laravel.com/docs/5.8/structure.html	(from https://laravel.com/docs/5.8/)
16:50:20	73557/73557	---MCZ	200	added ('OK')	text/html	date:Sun,%2016%20Jun%202019%2014:50:21%20GMT	https://laravel.com/docs/5.8/homestead	laravel/laravel/laravel.com/docs/5.8/homestead.html	(from https://laravel.com/docs/5.8/)
16:50:20	51755/51755	---MCZ	200	added ('OK')	text/html	date:Sun,%2016%20Jun%202019%2014:50:21%20GMT	https://laravel.com/docs/5.8/valet	laravel/laravel/laravel.com/docs/5.8/valet.html	(from https://laravel.com/docs/5.8/)
16:50:20	38702/38702	---MCZ	200	added ('OK')	text/html	date:Sun,%2016%20Jun%202019%2014:50:21%20GMT	https://laravel.com/docs/5.8/deployment	laravel/laravel/laravel.com/docs/5.8/deployment.html	(from https://laravel.com/docs/5.8/)
16:50:21	38680/38680	---MCZ	200	added ('OK')	text/html	date:Sun,%2016%20Jun%202019%2014:50:21%20GMT	https://laravel.com/docs/5.8/lifecycle	laravel/laravel/laravel.com/docs/5.8/lifecycle.html	(from https://laravel.com/docs/5.8/)
16:50:21	45930/45930	---MCZ	200	added ('OK')	text/html	date:Sun,%2016%20Jun%202019%2014:50:22%20GMT	https://laravel.com/docs/5.8/container	laravel/laravel/laravel.com/docs/5.8/container.html	(from https://laravel.com/docs/5.8/)
16:50:21	41866/41866	---MCZ	200	added ('OK')	text/html	date:Sun,%2016%20Jun%202019%2014:50:22%20GMT	https://laravel.com/docs/5.8/providers	laravel/laravel/laravel.com/docs/5.8/providers.html	(from https://laravel.com/docs/5.8/)
16:50:21	52211/52211	---MCZ	200	added ('OK')	text/html	date:Sun,%2016%20Jun%202019%2014:50:22%20GMT	https://laravel.com/docs/5.8/facades	laravel/laravel/laravel.com/docs/5.8/facades.html	(from https://laravel.com/docs/5.8/)
16:50:22	54466/54466	---MCZ	200	added ('OK')	text/html	date:Sun,%2016%20Jun%202019%2014:50:22%20GMT	https://laravel.com/docs/5.8/contracts	laravel/laravel/laravel.com/docs/5.8/contracts.html	(from https://laravel.com/docs/5.8/)
16:50:22	55793/55793	---MCZ	200	added ('OK')	text/html	date:Sun,%2016%20Jun%202019%2014:50:23%20GMT	https://laravel.com/docs/5.8/routing	laravel/laravel/laravel.com/docs/5.8/routing.html	(from https://laravel.com/docs/5.8/)
16:50:22	45154/45154	---MCZ	200	added ('OK')	text/html	date:Sun,%2016%20Jun%202019%2014:50:23%20GMT	https://laravel.com/docs/5.8/middleware	laravel/laravel/laravel.com/docs/5.8/middleware.html	(from https://laravel.com/docs/5.8/)
16:50:22	38167/38167	---MCZ	200	added ('OK')	text/html	date:Sun,%2016%20Jun%202019%2014:50:23%20GMT	https://laravel.com/docs/5.8/csrf	laravel/laravel/laravel.com/docs/5.8/csrf.html	(from https://laravel.com/docs/5.8/)
16:50:22	51311/51311	---MCZ	200	added ('OK')	text/html	date:Sun,%2016%20Jun%202019%2014:50:23%20GMT	https://laravel.com/docs/5.8/controllers	laravel/laravel/laravel.com/docs/5.8/controllers.html	(from https://laravel.com/docs/5.8/)
16:50:22	54352/54352	---MCZ	200	added ('OK')	text/html	date:Sun,%2016%20Jun%202019%2014:50:23%20GMT	https://laravel.com/docs/5.8/requests	laravel/laravel/laravel.com/docs/5.8/requests.html	(from https://laravel.com/docs/5.8/)
16:50:23	49472/49472	---MCZ	200	added ('OK')	text/html	date:Sun,%2016%20Jun%202019%2014:50:24%20GMT	https://laravel.com/docs/5.8/responses	laravel/laravel/laravel.com/docs/5.8/responses.html	(from https://laravel.com/docs/5.8/)
16:50:23	42186/42186	---MCZ	200	added ('OK')	text/html	date:Sun,%2016%20Jun%202019%2014:50:24%20GMT	https://laravel.com/docs/5.8/views	laravel/laravel/laravel.com/docs/5.8/views.html	(from https://laravel.com/docs/5.8/)
16:50:23	41612/41612	---MCZ	200	added ('OK')	text/html	date:Sun,%2016%20Jun%202019%2014:50:24%20GMT	https://laravel.com/docs/5.8/urls	laravel/laravel/laravel.com/docs/5.8/urls.html	(from https://laravel.com/docs/5.8/)
16:50:24	47596/47596	---MCZ	200	added ('OK')	text/html	date:Sun,%2016%20Jun%202019%2014:50:24%20GMT	https://laravel.com/docs/5.8/session	laravel/laravel/laravel.com/docs/5.8/session.html	(from https://laravel.com/docs/5.8/)
16:50:24	93630/93630	---MCZ	200	added ('OK')	text/html	date:Sun,%2016%20Jun%202019%2014:50:25%20GMT	https://laravel.com/docs/5.8/validation	laravel/laravel/laravel.com/docs/5.8/validation.html	(from https://laravel.com/docs/5.8/)
16:50:24	41883/41883	---MCZ	200	added ('OK')	text/html	date:Sun,%2016%20Jun%202019%2014:50:25%20GMT	https://laravel.com/docs/5.8/errors	laravel/laravel/laravel.com/docs/5.8/errors.html	(from https://laravel.com/docs/5.8/)
16:50:25	48349/48349	---MCZ	200	added ('OK')	text/html	date:Sun,%2016%20Jun%202019%2014:50:26%20GMT	https://laravel.com/docs/5.8/logging	laravel/laravel/laravel.com/docs/5.8/logging.html	(from https://laravel.com/docs/5.8/)
16:50:25	62744/62744	---MCZ	200	added ('OK')	text/html	date:Sun,%2016%20Jun%202019%2014:50:26%20GMT	https://laravel.com/docs/5.8/blade	laravel/laravel/laravel.com/docs/5.8/blade.html	(from https://laravel.com/docs/5.8/)
16:50:25	42035/42035	---MCZ	200	added ('OK')	text/html	date:Sun,%2016%20Jun%202019%2014:50:26%20GMT	https://laravel.com/docs/5.8/localization	laravel/laravel/laravel.com/docs/5.8/localization.html	(from https://laravel.com/docs/5.8/)
16:50:25	41343/41343	---MCZ	200	added ('OK')	text/html	date:Sun,%2016%20Jun%202019%2014:50:26%20GMT	https://laravel.com/docs/5.8/frontend	laravel/laravel/laravel.com/docs/5.8/frontend.html	(from https://laravel.com/docs/5.8/)
16:50:26	52376/52376	---MCZ	200	added ('OK')	text/html	date:Sun,%2016%20Jun%202019%2014:50:27%20GMT	https://laravel.com/docs/5.8/mix	laravel/laravel/laravel.com/docs/5.8/mix.html	(from https://laravel.com/docs/5.8/)
16:50:26	67609/67609	---MCZ	200	added ('OK')	text/html	date:Sun,%2016%20Jun%202019%2014:50:27%20GMT	https://laravel.com/docs/5.8/authentication	laravel/laravel/laravel.com/docs/5.8/authentication.html	(from https://laravel.com/docs/5.8/)
16:50:26	40580/40580	---MCZ	200	added ('OK')	text/html	date:Sun,%2016%20Jun%202019%2014:50:27%20GMT	https://laravel.com/docs/5.8/api-authentication	laravel/laravel/laravel.com/docs/5.8/api-authentication.html	(from https://laravel.com/docs/5.8/)
16:50:26	37410/37410	---MCZ	200	added ('OK')	text/html	date:Sun,%2016%20Jun%202019%2014:50:27%20GMT	https://laravel.com/docs/5.8/verification	laravel/laravel/laravel.com/docs/5.8/verification.html	(from https://laravel.com/docs/5.8/)
16:50:26	55687/55687	---MCZ	200	added ('OK')	text/html	date:Sun,%2016%20Jun%202019%2014:50:27%20GMT	https://laravel.com/docs/5.8/authorization	laravel/laravel/laravel.com/docs/5.8/authorization.html	(from https://laravel.com/docs/5.8/)
16:50:27	36537/36537	---MCZ	200	added ('OK')	text/html	date:Sun,%2016%20Jun%202019%2014:50:28%20GMT	https://laravel.com/docs/5.8/encryption	laravel/laravel/laravel.com/docs/5.8/encryption.html	(from https://laravel.com/docs/5.8/)
16:50:27	37260/37260	---MCZ	200	added ('OK')	text/html	date:Sun,%2016%20Jun%202019%2014:50:28%20GMT	https://laravel.com/docs/5.8/hashing	laravel/laravel/laravel.com/docs/5.8/hashing.html	(from https://laravel.com/docs/5.8/)
16:50:27	39320/39320	---MCZ	200	added ('OK')	text/html	date:Sun,%2016%20Jun%202019%2014:50:28%20GMT	https://laravel.com/docs/5.8/passwords	laravel/laravel/laravel.com/docs/5.8/passwords.html	(from https://laravel.com/docs/5.8/)
16:50:27	55553/55553	---MCZ	200	added ('OK')	text/html	date:Sun,%2016%20Jun%202019%2014:50:28%20GMT	https://laravel.com/docs/5.8/artisan	laravel/laravel/laravel.com/docs/5.8/artisan.html	(from https://laravel.com/docs/5.8/)
16:50:28	69393/69393	---MCZ	200	added ('OK')	text/html	date:Sun,%2016%20Jun%202019%2014:50:28%20GMT	https://laravel.com/docs/5.8/broadcasting	laravel/laravel/laravel.com/docs/5.8/broadcasting.html	(from https://laravel.com/docs/5.8/)
